"SubjectID" "Activity" "Average of [fBodyAcc-mean()-X]" "Average of [fBodyAcc-mean()-Y]" "Average of [fBodyAcc-mean()-Z]" "Average of [fBodyAcc-std()-X]" "Average of [fBodyAcc-std()-Y]" "Average of [fBodyAcc-std()-Z]" "Average of [fBodyAccJerk-mean()-X]" "Average of [fBodyAccJerk-mean()-Y]" "Average of [fBodyAccJerk-mean()-Z]" "Average of [fBodyAccJerk-std()-X]" "Average of [fBodyAccJerk-std()-Y]" "Average of [fBodyAccJerk-std()-Z]" "Average of [fBodyAccMag-mean()]" "Average of [fBodyAccMag-std()]" "Average of [fBodyBodyAccJerkMag-mean()]" "Average of [fBodyBodyAccJerkMag-std()]" "Average of [fBodyBodyGyroJerkMag-mean()]" "Average of [fBodyBodyGyroJerkMag-std()]" "Average of [fBodyBodyGyroMag-mean()]" "Average of [fBodyBodyGyroMag-std()]" "Average of [fBodyGyro-mean()-X]" "Average of [fBodyGyro-mean()-Y]" "Average of [fBodyGyro-mean()-Z]" "Average of [fBodyGyro-std()-X]" "Average of [fBodyGyro-std()-Y]" "Average of [fBodyGyro-std()-Z]" "Average of [tBodyAcc-mean()-X]" "Average of [tBodyAcc-mean()-Y]" "Average of [tBodyAcc-mean()-Z]" "Average of [tBodyAcc-std()-X]" "Average of [tBodyAcc-std()-Y]" "Average of [tBodyAcc-std()-Z]" "Average of [tBodyAccJerk-mean()-X]" "Average of [tBodyAccJerk-mean()-Y]" "Average of [tBodyAccJerk-mean()-Z]" "Average of [tBodyAccJerk-std()-X]" "Average of [tBodyAccJerk-std()-Y]" "Average of [tBodyAccJerk-std()-Z]" "Average of [tBodyAccJerkMag-mean()]" "Average of [tBodyAccJerkMag-std()]" "Average of [tBodyAccMag-mean()]" "Average of [tBodyAccMag-std()]" "Average of [tBodyGyro-mean()-X]" "Average of [tBodyGyro-mean()-Y]" "Average of [tBodyGyro-mean()-Z]" "Average of [tBodyGyro-std()-X]" "Average of [tBodyGyro-std()-Y]" "Average of [tBodyGyro-std()-Z]" "Average of [tBodyGyroJerk-mean()-X]" "Average of [tBodyGyroJerk-mean()-Y]" "Average of [tBodyGyroJerk-mean()-Z]" "Average of [tBodyGyroJerk-std()-X]" "Average of [tBodyGyroJerk-std()-Y]" "Average of [tBodyGyroJerk-std()-Z]" "Average of [tBodyGyroJerkMag-mean()]" "Average of [tBodyGyroJerkMag-std()]" "Average of [tBodyGyroMag-mean()]" "Average of [tBodyGyroMag-std()]" "Average of [tGravityAcc-mean()-X]" "Average of [tGravityAcc-mean()-Y]" "Average of [tGravityAcc-mean()-Z]" "Average of [tGravityAcc-std()-X]" "Average of [tGravityAcc-std()-Y]" "Average of [tGravityAcc-std()-Z]" "Average of [tGravityAccMag-mean()]" "Average of [tGravityAccMag-std()]"
1 "LAYING" 0.4458177198 -0.8968300184 -0.90772000676 0.24817268954 -0.9074593992 0.164573517502 0.926607198 0.9302030164 -0.9535888746 0.17802012454 0.0841931443664 0.157727944578 0.1275149057 -0.064486124088 -0.78018166656 0.7702035598 -0.244623975822 0.19059974554 0.075062469436 -0.107270949192 -0.112281174518 0.06825486252 -0.038780932678 0.03545197294 -0.045545088 0.03519635202 -0.82981881602 -0.9096779542 -0.874759548 0.00791182656 -0.009417440526 0.086408548754 -0.931976485 -0.9421187546 -0.9483430226 -0.64409616216 -0.7638709682 -0.8173333332 -0.48536717122 -0.9953484832 -0.9896065986 -0.9861261602 -0.9322178704 -0.9605869872 -0.9532392948 -0.965661218 -0.9844682058 -0.967274797 -0.9997972174 -0.9979056496 -0.994388844 -0.9608458736 -0.9910523322 -0.9955194022 -0.9854256262 -0.990634675 -0.9838882006 -0.850249174586 -0.1780860953 -0.468622719456 -0.06489623136 -0.9694108392 -0.9863091536 -0.9897103736 -0.9861645352 -0.9977716264
1 "SITTING" 0.332043702765957 -0.968457145744681 -0.935517055957447 0.225336937808511 0.574696193021277 -0.879533994893617 0.984092530425532 0.984715157446808 -0.987206773829787 0.195148326574468 0.24029944387234 0.154667993986596 0.217507940023404 -0.0919241549361702 -0.875423871702128 0.782854043829787 -0.719305914170213 0.258733872126596 0.113818159957447 -0.0936793807234043 -0.0484337828106383 -0.0993814816382979 0.11770854623617 0.145847348340426 -0.135259833346809 0.153241019 -0.952083671702128 -0.918766718297872 -0.93089249 -0.171379818425532 0.166649813768085 -0.112973317920638 -0.985084336808511 -0.987991313829787 -0.983515727446808 -0.82123387087234 -0.795470143914894 -0.971631205744681 -0.514312723851064 -0.999017407234043 -0.99831475787234 -0.998748331489362 -0.982513909574468 -0.988339184893617 -0.985119245957447 -0.98886249787234 -0.989690072978723 -0.989653424468085 -0.999767662553191 -0.999722429148936 -0.999211961489362 -0.998989667234043 -0.999413425744681 -0.999259357234043 -0.999120911276596 -0.999480897021277 -0.999540442765957 -0.976161464042553 -0.251980798621277 -0.525339902297872 -0.159716486306383 -0.999726712340426 -0.999679904893617 -0.999771084042553 -0.999663006808511 -0.999799265744681
1 "STANDING" 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.243890063075472 0.846175155471698 -0.861761176226415 0.989492329245283 0.98942738490566 -0.992587402264151 0.156754229943396 0.263266077113208 0.250410661660377 0.210956762773585 -0.0593972209811321 -0.873775728490566 0.813972506981132 -0.358149656018868 0.274304828092453 0.171002379077547 -0.0996092129056604 0.119135411334906 0.10645139985283 -0.0374820999679245 0.199252568566038 -0.186670252428302 0.240349537995094 -0.982624988867924 -0.976637274528302 -0.976493792830189 -0.186654435060377 0.163825722239623 -0.0367286360754717 -0.998733756037736 -0.999100681132076 -0.993305557358491 -0.875798401320755 -0.707851490849057 -0.909433962075472 -0.555794507049057 -0.999931601698113 -0.999960836792453 -0.999776926037736 -0.987018226792453 -0.992349818113208 -0.993397363018868 -0.99222877245283 -0.995837950943396 -0.991093494339623 -0.99998668 -0.999979371320755 -0.999913534528302 -0.999788466603774 -0.999844376792453 -0.999770308490566 -0.999766992075472 -0.999784658490566 -0.999552433396226 -0.986386786037736 -0.168074752716981 -0.509768294339623 -0.247692568509434 -0.999928443396226 -0.999949652830189 -0.999962169622642 -0.999949959811321 -0.999985711698113
1 "WALKING" -0.068102864 -0.976609642526316 -0.971305961473684 -0.141761466323684 0.825961054526316 -0.863780189157895 0.0991777029389474 0.433961347157895 -0.125709954344211 0.294189366496842 0.1189571183 -0.0221305001562105 -0.0383923339084211 -0.0695300462115789 -0.468043160526316 0.238918104421053 0.259224199421053 0.266175581751579 -0.172029857462105 -0.0899975423705263 0.0952521854210526 0.482780546 -0.334593851089474 0.0888187274757895 -0.133993725144211 0.0885682061405263 -0.350675312526316 -0.557639276905263 -0.160979552536842 -0.230007313031579 0.165740730368421 -0.18978924212 -0.370279522105263 -0.716622367578947 -0.158366193475789 0.439469357578947 -0.742614598315789 -0.637894735410526 -0.533814662421053 -0.368955562861053 -0.741789973263158 -0.357642790013684 0.106739857136 -0.534713440421053 0.01872176634 -0.573057930947368 -0.737627317789474 -0.650638141684211 -0.966556234526316 -0.762600426842105 -0.399169038010526 -0.701462939789474 -0.397083819347368 -0.516455299389474 -0.338246326894737 -0.880924993578947 -0.845919903894737 -0.339032197115789 -0.286403676210526 -0.625845561684211 -0.221191379542105 -0.455981768 -0.698219035368421 -0.942760795157895 -0.933790816315789 -0.807090448526316
1 "WALKING_DOWNSTAIRS" -0.0621199585938775 -0.950559811632653 -0.937018658979592 -0.206320981041224 0.817406767346939 -0.879004752857143 0.283856953591837 0.34844374755102 -0.0773644451938776 0.241087127655102 0.00448128334244898 -0.160591898591837 0.189908398910204 -0.0909371290204082 -0.466480526326531 -0.0788326496612245 0.247013933489796 0.131428911006939 -0.210495165979592 -0.0739592036271429 -0.0305953732142857 0.377723850408163 -0.24153299954898 -0.12089367574898 0.0532667655632653 0.13907453125102 -0.264113724530612 -0.371792477204082 -0.0757412543673469 -0.451662069618367 0.423461960877551 -0.295883797938776 -0.514719307346939 -0.692596075102041 0.0363735707244898 0.559315348367347 -0.776168528571429 -0.681632651979592 -0.564097848679592 -0.447821870591837 -0.463357205102041 -0.627210608571429 -0.134580008877551 -0.401721464285714 0.12286892074898 -0.460147911428571 -0.708681209795918 -0.736660075081633 -0.961457404285714 -0.647142979183673 -0.378451650132653 -0.693497416122449 -0.684417220204082 -0.594216842040816 -0.56065619755102 -0.804814413265306 -0.744634869591837 -0.352449631363265 -0.176474683371429 -0.454334035265306 -0.441510551020408 -0.810410062653061 -0.846154418163265 -0.93837405 -0.927878544897959 -0.83404579
1 "WALKING_UPSTAIRS" -0.075402939754717 -0.956367027924528 -0.952849233207547 0.0141336506698113 0.719342348490566 -0.769715006037736 0.486060917924528 0.701388245849057 -0.458987958490566 0.23527769259434 0.0753419994716981 -0.166082353622642 -0.305264220962264 -0.166170015088679 -0.409868342316981 0.421515888377358 0.12949984354717 0.191980148588679 -0.116837051783019 -0.122232768011321 0.0648164878490566 0.314803077192453 -0.301908590471698 -0.339098301509434 0.248794325943396 -0.137359747679245 -0.319139034830189 -0.541697763669811 -0.126735589969811 0.279921259396226 -0.0491976799056604 -0.0977466063226415 -0.492419166037736 -0.509808030188679 -0.390413756415094 0.245590203773585 -0.80645161 -0.801257861698113 0.282041225383019 -0.792298456981132 -0.785268259433962 -0.848267307358491 -0.381777065283019 -0.726040200754717 -0.354504011509434 -0.758435826981132 -0.855511307169811 -0.821401507924528 -0.98954287754717 -0.875794654716981 -0.811496217735849 -0.587025707924528 -0.858675862641509 -0.860496242264151 -0.774621821509434 -0.952159069245283 -0.963511713018868 -0.492611667924528 -0.1135742048 -0.40799260359434 0.495960300943396 -0.876964870943396 -0.933053269811321 -0.974036661509434 -0.969104824716981 -0.933665421509434
2 "LAYING" 0.646834879583333 -0.959014441458333 -0.988211865208333 0.2705147836875 -0.980468403541667 0.147438333125 0.984835539791667 0.984601980833333 -0.987630506875 0.15616054815 0.114552676385417 0.142120380372917 0.288509665814583 -0.111800824583333 -0.871492135 0.825742531666667 -0.478879195916667 0.14267676161625 0.0794291980625 -0.101974134208333 -0.0140926961125 0.0899301580375 0.0414978802020833 0.229652255146458 -0.183835888697917 0.188903979395833 -0.966488284791667 -0.937238516875 -0.950011569583333 -0.144698463020833 0.116905481914583 -0.141203233875 -0.999174261666667 -0.999404376875 -0.980882280833333 -0.86483757 -0.846774193854167 -0.829166666875 -0.7727719634375 -0.99939132375 -0.998829923333333 -0.99968708875 -0.984987392916667 -0.989345368541667 -0.983314896458333 -0.989140558541667 -0.990536677291667 -0.989875808541667 -0.999936140416667 -0.9998257175 -0.9994507375 -0.999713350833333 -0.999745041666667 -0.999620856666667 -0.99962279125 -0.9996138775 -0.99889939875 -0.9864311425 -0.215226526584375 -0.519449361233333 -0.07794886633125 -0.999907350833333 -0.999915304583333 -0.99990293 -0.999868095833333 -0.999918063333333
2 "SITTING" 0.19872676876087 -0.979988760869565 -0.956750273043478 -0.271070080217391 0.840362822826087 -0.978350845652174 0.97911227673913 0.984057139130435 -0.986727768695652 0.179573100954348 0.214066120586957 0.262911663195652 0.212113447782609 -0.0599286797043478 -0.884830284782609 0.787973085 -0.551229318813043 0.206040879695652 0.037560153 -0.0936328412826087 -0.0820208262173913 0.0587966712826087 0.192636236913043 0.108494865458696 -0.130666368880435 0.165177400471739 -0.964999863695652 -0.918991640217391 -0.946035087173913 -0.0520868350217391 0.0884338520847826 -0.0465395786717391 -0.994452909565217 -0.995901580217391 -0.986237689347826 -0.775925114130435 -0.667601682891304 -0.882608695434783 -0.389546246934783 -0.999688010869565 -0.999346054565217 -0.999348434347826 -0.980804228478261 -0.988570804130435 -0.986181069130435 -0.98896804 -0.992381729782609 -0.983373535652174 -0.999876829130435 -0.999927669782609 -0.999706729782609 -0.999533993043478 -0.999799137608696 -0.999492492826087 -0.99957122826087 -0.999645352608696 -0.999347207391304 -0.982621389565217 -0.356219636347826 -0.631654962152174 -0.0737132346347826 -0.999897666086957 -0.999846567391304 -0.999839073913043 -0.999816669130435 -0.999949786956522
2 "STANDING" 0.129747161222222 -0.986685818703704 -0.97419442037037 0.158422912481481 0.728349482962963 -0.756286182777778 0.977089787962963 0.979144853888889 -0.980308772407407 0.260006041277778 0.256694046139444 0.242721949685185 0.23140431289963 -0.0820396577592593 -0.860489124074074 0.794552969444444 -0.327713970018519 0.148268891203704 0.144897161101111 -0.105562157888889 0.118268693761111 0.0487083977740741 0.0278048061185185 0.0593805881314815 -0.0833008972722222 0.18445040162963 -0.956052231481481 -0.971112472037037 -0.963466341851852 -0.0767830144037037 0.133825672425926 -0.0598797868240741 -0.997899268703704 -0.995280694814815 -0.980379596666667 -0.720911687222222 -0.714456391740741 -0.929629629259259 -0.439629918392593 -0.999513952592593 -0.999781299444444 -0.999361639259259 -0.973520241111111 -0.984599905185185 -0.978469450740741 -0.986056758148148 -0.989528703518519 -0.985272963703704 -0.999889775185185 -0.999851439814815 -0.999021072777778 -0.999126529074074 -0.999467588703704 -0.998970432777778 -0.999052850925926 -0.999441677962963 -0.998198299074074 -0.967037112037037 -0.300344499208333 -0.636570183685185 -0.298495359259259 -0.999258690555556 -0.999382331111111 -0.999541982407407 -0.999426093333333 -0.999810602962963
2 "WALKING" 0.0847270871186441 -0.972693201355932 -0.972116879661017 0.00459046757627119 0.76883742220339 -0.791632866101695 0.107947919050847 0.503662567118644 -0.276736330305085 0.283491365559322 0.169075989886441 -0.140705359709831 -0.0127912809237288 -0.0482382316949153 -0.489339145932203 0.348751239830508 0.142944547133898 -0.188591849727119 -0.355923917152542 -0.0818833429152542 -0.365992947847458 0.338116581991525 0.0648991809491525 0.228528878122034 -0.152535490157627 -0.112274999164407 -0.543651467966102 -0.645853513050847 -0.446549092881356 -0.153799709635593 0.0428938015644068 -0.0111708590067797 -0.566292304745763 -0.827136330847458 -0.265866825644068 0.373587901186441 -0.759431379830508 -0.757062144745763 -0.724849881525424 -0.618494249322034 -0.836712560338983 -0.761244444576271 -0.0153329520084746 -0.615898188474576 -0.175890497338983 -0.640314319152542 -0.766186334576271 -0.651805957457627 -0.970436456779661 -0.881062550508475 -0.546488295542373 -0.751726649661017 -0.772500823898305 -0.314551302813559 -0.50557995779661 -0.874501143050847 -0.918785351355932 -0.429713536101695 -0.23949330190339 -0.546794286457627 -0.274301556745763 -0.871132574745763 -0.771332409322034 -0.802023037288136 -0.838538992372881 -0.950924448983051
